fire_name,city,start_date,end_date,acres_burned
Lucy Fire,Shandon,2017-06-14,2018-01-09,150
Westfall Fire,Mariposa,2017-06-15,2018-01-09,63
Canyon Fire,Banning,2017-06-15,2018-01-09,105
Nuevo Fire,Nuevo,2017-06-15,2018-01-09,28
Skyway Fire,Durham,2017-06-16,2018-01-09,134
Shore Fire,Lake Nacimiento,2017-06-16,2018-01-09,32
Lake Fire,Castaic,2017-06-17,2018-01-09,850
Bolla Fire,Lewiston,2017-06-18,2018-01-09,60
Lambs Fire,Beaumont,2017-06-18,2018-01-09,10
Smiley Fire,Moreno Valley,2017-06-18,2018-01-09,153
Road Fire,Bonadelle Ranchos-Madera Ranchos,2017-06-18,2018-01-09,25
Highway Fire,Bodfish,2017-06-18,2018-01-09,1522
Trellis Fire,Meadowbrook,2017-06-18,2018-01-09,26
Bogus Fire,Montague,2017-06-18,2018-01-09,56
Toll Fire,Crockett,2017-06-22,2018-01-09,39
Holcomb Fire,Big Bear City,2017-06-19,2018-01-09,1503
Orange Fire,East Oakdale,2017-06-21,2018-01-09,65
Quimby Fire,Alum Rock,2017-06-21,2018-01-09,54
Highway Fire,Loma Rica,2017-06-22,2018-01-09,21
Lone Fire,Palermo,2017-06-22,2018-01-09,111
Creek Fire,Coalinga,2017-06-23,2018-01-09,357
Paskenta Fire,Red Bluff,2017-06-24,2018-01-09,42
Placerita Fire,Santa Clarita,2017-06-25,2018-01-09,760
Black Fire,Ramona,2017-06-25,2018-01-09,36
Manzanita Fire,Anza,2017-06-26,2018-01-09,6309
King Fire,Lewiston,2017-06-26,2018-01-09,19
Hill Fire,Santa Margarita,2017-06-26,2018-01-09,1626
Latrobe Fire,Ione,2017-06-27,2018-01-09,35
Pine Fire,Woodacre,2017-06-27,2018-01-09,38
Sloane Fire,Crest,2017-06-27,2018-01-09,25
Mart Fire,Highland,2017-06-27,2018-01-09,670
Shore Fire,Fort Dick,2017-06-26,2018-01-09,28
Ranch Fire,East Foothills,2017-06-29,2018-01-09,85
Alvarado Fire,Lake Nacimiento,2017-06-28,2018-01-09,15
Ben Fire,Mariposa,2017-06-28,2018-01-09,558
Tarina Fire ,Lamont,2017-06-30,2018-01-09,1200
Lockwood Fire,King City,2017-06-29,2018-01-09,42
Topanga Fire,Las Flores,2017-06-29,2018-01-09,55
Stokes Fire,Agoura,2017-06-29,2018-01-09,41
Oak Fire,Bella Vista,2017-07-01,2018-01-09,128
Brewer Fire,Lake of the Pines,2017-07-02,2018-01-09,10
Lisa Fire,Lakeview,2017-07-02,2018-01-09,11
Desabla Fire,Forest Ranch,2017-07-02,2018-01-09,14
Spring Fire,Mariposa,2017-07-02,2018-01-09,225
Derrick Fire,Coalinga,2017-07-02,2018-01-09,1562
Timber Fire,Moreno Valley,2017-07-03,2018-01-09,30
Canyon Fire,Beaumont,2017-07-03,2018-01-09,10
Lago Fire,Lakeview,2017-07-03,2018-01-09,50
Valley Fire,Ridgemark,2017-07-04,2018-01-09,34
Silver Fire,Crestline,2017-07-04,2018-01-09,13
Freedom Fire,Minkler,2017-07-04,2018-01-09,57
Jurupa Fire,Glen Avon,2017-07-04,2018-01-09,35
Lakeland Fire,Oroville,2017-07-04,2018-01-09,18
Grade Fire,Casa Conejo,2017-07-04,2018-01-09,50
Eagle Fire,El Cerrito Corona,2017-07-04,2018-01-09,205
Globe Fire,East Porterville,2017-07-05,2018-01-09,21
Fay Fire,Yreka,2017-07-05,2018-01-09,496
Axel Fire,Cameron Park,2017-07-08,2018-01-09,74
Lake Fire,Waterford,2017-07-08,2018-01-09,62
Auberry Fire,Clovis,2017-07-05,2018-01-09,91
Gold Fire,San Andreas,2017-07-05,2018-01-09,22
Winters Fire,Winters,2017-07-06,2018-01-09,1700
Quail Fire,McFarland,2017-07-06,2018-01-09,1626
Alamo Fire,Santa Maria,2017-07-06,2018-01-09,28687
Hawk Fire,Richgrove,2017-07-07,2018-01-09,2940
Daulton Fire,Madera Acres,2017-07-07,2018-01-09,90
Christmas Fire,Meadowbrook,2017-07-07,2018-01-09,33
Wall Fire,Oroville East,2017-07-07,2018-01-09,6033
