fire_name,city,start_date,end_date,acres_burned
Omega Fire,Cool,2018-08-01,2019-01-04,66
Sunset Fire,Elverta,2018-08-01,2019-01-04,695
Turkey Fire,Shandon,2018-08-06,2019-01-04,2225
Holy Fire,Trabuco Canyon,2018-08-06,2019-01-04,23136
Terra Fire,El Cerrito Corona,2018-08-06,2019-01-04,35
South Fire,Rancho Calaveras,2018-08-06,2019-01-04,290
Murphy Fire,Chester,2018-08-07,2019-01-04,117
Five Fire,Kettleman City,2018-08-06,2019-01-04,2995
Pine Fire,Oildale,2018-08-16,2019-01-04,114
Hirz Fire,Bella Vista,2018-08-09,2019-01-04,46150
Land Fire,Calimesa,2018-08-22,2019-01-04,23
Rangeland Fire,Ramona,2018-08-09,2019-01-04,250
Hat Fire,Burney,2018-08-09,2019-01-04,1900
Syar Fire,Napa,2018-08-09,2019-01-04,10
Alhambra Fire,Martinez,2018-08-17,2019-01-04,30
Snell Fire,Angwin,2018-09-08,2019-01-04,2490
Nelson Fire,Vacaville,2018-08-10,2019-01-04,2162
Marcel Fire,Golden Hills,2018-08-17,2019-01-04,34
Oak Fire,Alta Sierra,2018-08-12,2019-01-04,16
Cloverdale Fire,Escondido,2018-08-13,2019-01-04,100
Gulch Fire,San Miguel,2018-08-11,2019-01-04,700
River Fire,Alta Sierra,2018-08-15,2019-01-04,496
Stone Fire,Alturas,2018-08-15,2019-01-04,39387
Castro Fire,Fairview,2018-08-26,2019-01-04,48
Call Fire,Bodfish,2018-08-18,2019-01-04,367
Gorge Fire,Hayfork,2018-08-19,2019-01-04,155
Front Fire,Santa Maria,2018-08-19,2019-01-04,1014
Keller Fire,Murrieta Hot Springs,2018-08-19,2019-01-04,10
Eastman Fire,Madera Acres,2018-08-23,2019-01-04,289
Country Fire,Moreno Valley,2018-08-25,2019-01-04,32
Redinger Fire,Auberry,2018-08-27,2019-01-04,88
Cache Fire,Clearlake,2018-08-26,2019-01-04,103
Winchester Fire,Winchester,2018-08-27,2019-01-04,36
Fork Fire,Glendora,2018-09-09,2019-01-04,166
Grade Fire,Hidden Valley Lake,2018-08-30,2019-01-04,60
Ogilvy Fire,Montecito,2018-09-01,2019-01-04,172
Essex Fire,Alturas,2018-09-02,2019-01-04,15
Sterling,Highland,2018-08-31,2019-01-04,125
Delta Fire,Central Valley (historical),2018-09-05,2019-01-04,63311
Kelsey Fire,Kelseyville,2018-09-03,2019-01-04,24
North Fire,Foresthill,2018-09-03,2019-01-04,1120
Sliger Fire,Auburn Lake Trails,2018-09-04,2019-01-04,150
Ranchera Fire,Central Valley (historical),2018-09-04,2019-01-04,13
Tulloch Fire,Copperopolis,2018-09-08,2019-01-04,573
Kerlin Fire,Willow Creek,2018-09-04,2019-01-04,1751
Boot Fire,Bridgeport,2018-09-04,2019-01-04,6974
Metz Fire,Greenfield,2018-09-13,2019-01-04,411
Irving Fire,Lagunitas-Forest Knolls,2018-09-10,2019-01-04,152
Water Fire,Frazier Park,2018-09-12,2019-01-04,200
Soboba Fire,San Jacinto,2018-09-14,2019-01-04,25
Meyers Fire,Camino,2018-09-20,2019-01-04,12
Charlie Fire,Castaic,2018-09-22,2019-01-04,3380
Oak Fire,Ahwahnee,2018-09-22,2019-01-04,360
Copper Fire,Westwood,2018-09-22,2019-01-04,53
Wilson Fire,Chester,2018-09-28,2019-01-04,261
Silver Fire,Palo Cedro,2018-09-28,2019-01-04,76
Quimby Fire,East Foothills,2018-09-23,2019-01-04,30
Nimshew Fire,Magalia,2018-09-24,2019-01-04,33
Keenbrook Fire,Muscoy,2018-09-26,2019-01-04,53
Nacimiento Fire,King City,2018-10-02,2019-01-04,150
Eagle Fire,Squaw Valley,2018-10-02,2019-01-04,32
Sun Fire,Red Bluff,2018-10-07,2019-01-04,3889
Park Fire,Morgan Hill,2018-10-07,2019-01-04,63
Iron Gate Fire,Montague,2018-10-10,2019-01-04,15
Winters Fire,Allendale,2018-10-12,2019-01-04,160
Priest Fire,Coalinga,2018-10-13,2019-01-04,167
Tower Fire,Shasta,2018-10-14,2019-01-04,12
Masonic Fire,Redding,2018-10-14,2019-01-04,38
Powellton Fire,Magalia,2018-10-15,2019-01-04,10
Camino Fire,Arroyo Grande,2018-10-19,2019-01-04,58
Market Fire,Woodlake,2018-10-24,2019-01-04,120
June Fire,Palermo,2018-10-30,2019-01-04,550
Rincon Fire,Pasatiempo,2018-11-03,2019-01-04,17
Brushy Fire,Covelo,2018-11-08,2019-01-04,35
Camp Fire,Magalia,2018-11-08,2018-11-25,153336
Adams Fire,Cottonwood,2018-11-05,2019-01-04,60
Horn Fire,Johnstonville,2018-11-08,2019-01-04,88
Nurse Fire,Suisun,2018-11-08,2019-01-04,1500
Hill Fire,Casa Conejo,2018-11-08,2019-01-04,4381
Woolsey Fire,Santa Susana,2018-11-08,2019-01-04,96949
Pilot Fire,Willow Creek,2019-01-01,2019-01-15,30
Morgan Fire,Blackhawk,2018-11-15,2019-01-04,20
Green Hill Fire,Blue Lake,2018-11-12,2019-01-04,10
Sierra Fire,Fontana,2018-11-13,2019-01-04,147
Niles Fire,Fremont,2018-11-14,2019-01-04,20
Briggs Fire,Saticoy,2018-11-15,2019-01-04,150
Peak Fire,Santa Susana,2018-11-12,2019-01-04,186
Bear Fire ,Boulder Creek,2018-11-16,2019-01-04,10
Scott Fire,Loma Rica,2019-06-25,2019-06-25,80
York Fire,Avenal,2019-04-28,2019-06-24,161
Cana Fire,Hamilton City,2019-04-30,2019-05-08,10
Woody Fire,Richgrove,2019-04-30,2019-05-08,115
Meridian Fire,Chico,2019-05-01,2019-05-08,50
Vulcan Fire,Pine Mountain Club,2019-05-03,2019-05-08,172
Refuge Fire,Lost Hills,2019-05-07,2019-05-09,2500
Sugar Fire,Foresthill,2019-05-10,2019-05-24,65
Shady Fire,Coachella,2019-05-18,2019-05-24,130
Paskenta Fire,Rancho Tehama Reserve,2019-05-20,2019-05-24,63
Foothill Fire,Nuevo,2019-05-20,2019-05-24,26
Belmont Fire,Lost Hills,2019-05-29,2019-06-03,835
Hill Fire,Orange Cove,2019-05-29,2019-06-05,121
Diversion Fire,Blythe,2019-05-30,2019-06-03,45
Canyon Fire,Patterson,2019-05-30,2019-06-11,144
66 Fire,Mecca,2019-05-29,2019-06-24,55
Spruce Fire,Exeter,2019-06-01,2019-06-11,155
Citrus Fire,Strathmore,2019-06-02,2019-06-11,257
Yokohl Fire,East Porterville,2019-06-03,2019-06-04,33
Bear Fire,East Porterville,2019-06-03,2019-06-11,25
Boulder Fire,Lost Hills,2019-06-05,2019-06-11,1075
Willow Fire,Bay Point,2019-06-06,2019-06-11,23
Nelson Fire ,Green Valley,2019-06-07,2019-06-17,24
Watt Fire,North Highlands,2019-06-07,2019-06-11,27
Stuhr Fire,Newman,2019-06-07,2019-06-11,581
Levee Fire,Marysville,2019-06-08,2019-06-17,70
Sand Fire,Arbuckle,2019-06-08,2019-06-17,2220
Ink Fire,Angwin,2019-06-08,2019-06-17,50
West Butte Fire,Sutter,2019-06-08,2019-06-17,1350
McMillan Fire,Shandon,2019-06-12,2019-06-24,1763
Malech Fire,Morgan Hill,2019-06-09,2019-06-11,210
Calaveras Fire ,East Foothills,2019-06-10,2019-06-17,35
Ardo Fire,Lake Nacimiento,2019-06-12,2019-06-17,43
Springs Fire,Terra Bella,2019-06-10,2019-06-11,47
Bitter Fire ,Shandon,2019-06-10,2019-06-11,120
Pauma Fire,Valley Center,2019-06-10,2019-06-24,15
32 Fire,Chico,2019-06-15,2019-06-24,17
Rocky Fire,Montague,2019-06-14,2019-06-17,17
IronGate Fire,Montague,2019-06-16,2019-06-21,10
Weisgarber Fire,Fallbrook,2019-06-20,2019-06-21,120
Lumgrey Fire,Sutter,2019-06-17,2019-06-24,207
Jerry Fire,Lakeview,2019-06-21,2019-06-24,500
Mountain Fire,Mountain House,2019-06-21,2019-06-24,30
Paskenta Fire,Rancho Tehama Reserve,2019-06-22,2019-06-24,46
Scott Fire,Loma Rica,2019-06-24,2019-06-24,80
Rock Fire,Patterson,2019-06-25,2019-06-27,2420
Lonoak Fire,King City,2019-06-25,2019-06-26,2546
Trinity Fire,Shasta,2019-06-26,2019-06-26,90
Mines Fire,Tracy,2019-06-26,2019-06-27,17
Dyer Fire,North Highlands,2019-06-26,2019-06-27,148
Nuevo Fire,Nuevo,2019-06-27,2019-06-27,20
Long Fire,Nevada City,2019-06-28,2019-06-28,2
Otay Fire,Jamul,2019-06-29,2019-06-30,28
Wolf Fire ,Beaumont,2019-06-29,2019-06-30,214
Merced Fire ,Planada,2019-06-29,2019-07-02,210
Mayberry Fire ,Lake Wildwood,2019-06-29,2019-06-29,12
Coyote Fire,Morgan Hill,2019-07-02,2019-07-02,74
Hollow Fire,Mountain House,2019-07-03,2019-07-05,283
Bikeway Fire,Patterson,2019-07-05,2019-07-05,25
Fellow Fire,Martinez,2019-07-05,2019-07-05,24
Ranch Fire,Lewiston,2019-07-05,2019-07-06,30
Snowstorm Fire,Johnstonville,2019-07-05,2019-07-06,263
Gillis Fire,Shandon,2019-07-08,2019-07-09,1010
Sargent Fire,San Miguel,2019-07-09,2019-07-10,190
Gibbel Fire ,East Hemet,2019-07-11,2019-07-11,20
Lincoln Fire,Mecca,2019-07-12,2019-07-17,80
Mid Fire,San Martin,2019-07-12,2019-07-12,22
Orange fire,Nuevo,2019-07-13,2019-07-13,96
Doyle Fire,Portola,2019-07-14,2019-07-16,193
South Fire ,Fillmore,2019-07-14,2019-07-15,131
Milton Fire ,East Oakdale,2019-07-15,2019-07-16,202
Aborn Fire,Alum Rock,2019-07-15,2019-07-15,47
Madera Fire ,Bonadelle Ranchos-Madera Ranchos,2019-07-15,2019-07-16,213
Meadow Fire,Aguanga,2019-07-16,2019-07-17,81
Vista Fire,Harbison Canyon,2019-07-17,2019-07-18,25
Rains Fire,Patterson,2019-07-18,2019-07-18,35
Whiskey Fire,Rancho Calaveras,2019-07-18,2019-07-20,27
Range Fire,Santa Ynez,2019-07-28,2019-08-05,100
Mill Fire,Greenfield,2019-07-30,2019-08-12,280
Carson Fire,Placerville,2019-07-30,2019-07-31,13
Browns Fire,Clay,2019-08-02,2019-08-02,84
Prairie Fire ,El Dorado Hills,2019-08-02,2019-08-02,50
Meadow Fire (Not a CAL FIRE incident),Alturas,2019-08-02,2019-08-02,103
Marsh Complex,Clayton,2019-08-03,2019-08-06,340
Five Fire,Lebec,2019-08-03,2019-08-05,156
La Barisa Fire,Yucca Valley,2019-08-03,2019-08-04,26
Caliente Fire,Bear Valley Springs,2019-08-05,2019-08-06,29
Toro Fire ,Meadowbrook,2019-08-05,2019-08-06,94
Golf Fire,Soda Bay,2019-08-08,2019-08-11,20
Preston Fire,Jamestown,2019-08-08,2019-08-08,21
W1 McDonald Fire,Alturas,2019-08-08,2019-08-11,1020
Heavy Range Fire,Beale Air Force Base,2019-08-10,2019-08-10,33
Radio Fire,Beaumont,2019-08-12,2019-08-12,20
Lower Fire,Shasta,2019-08-12,2019-08-13,46
Moose Fire,Talmage,2019-08-12,2019-08-17,225
Timm Fire ,Allendale,2019-08-13,2019-08-13,81
Greenstone Fire ,Shingle Springs,2019-08-14,2019-08-14,16
Spring Fire ,Williams,2019-08-14,2019-08-14,20
Cottage Fire,Palo Cedro,2019-08-15,2019-08-17,156
Patterson Fire,Deer Park,2019-08-15,2019-08-16,35
Patterson Fire,Mountain House,2019-08-21,2019-08-21,139
Mountain Fire,Bella Vista,2019-08-22,2019-08-26,600
Yucca Fire,Aguanga,2019-08-22,2019-08-23,34
Horse Fire,Susanville,2019-08-24,2019-08-27,131
Ivy Fire,El Cerrito Corona,2019-08-25,2019-08-25,80
Sage Fire,Aguanga,2019-08-27,2019-08-27,12
R-1 Fire,Susanville,2019-08-28,2019-09-04,3380
Carroll Fire,Livermore,2019-08-31,2019-08-31,19
Jolon Fire,Lake Nacimiento,2019-09-01,2019-09-02,66
Snail Fire,Pine Mountain Club,2019-09-01,2019-09-05,279
Mines Fire,Livermore,2019-09-02,2019-09-02,11
Antelope Fire,South Dos Palos,2019-09-02,2019-09-03,167
Telephone Fire,Oak Hills,2019-09-02,2019-09-06,15
Country Fire,Auburn Lake Trails,2019-09-03,2019-09-06,85
Deer Fire,Boulder Creek,2019-09-03,2019-09-06,10
Tenaja,Murrieta,2019-09-04,2019-09-14,1926
Glass Fire,Lower Lake,2019-09-04,2019-09-05,28
Foster Fire ,Ridgemark,2019-09-04,2019-09-04,17
Red Bank Fire,Rancho Tehama Reserve,2019-09-05,2019-09-13,8836
Flood Fire ,Linden,2019-09-05,2019-09-05,44
Henthorne Fire,Covelo,2019-09-05,2019-09-18,244
South Fire,Rancho Tehama Reserve,2019-09-05,2019-12-02,5332
Lone Fire,Alturas,2019-09-06,2019-09-13,5737
Cow Fire,Lone Pine,2019-09-06,2019-11-21,1975
Taboose Fire,Big Pine,2019-09-06,2019-11-21,10296
Forbestown Fire,Oroville East,2019-09-06,2019-09-12,58
Kidder 2 Fire,Happy Camp,2019-09-07,2019-09-26,227
Rams Horn Fire,Mount Shasta,2019-09-07,2019-09-12,280
Oak Fire,Kelseyville,2019-09-07,2019-09-08,53
Swedes Fire,Oroville East,2019-09-07,2019-09-13,496
Duzel Fire,Yreka,2019-09-07,2019-09-10,15
Sycamore Fire,March Air Force Base,2019-09-07,2019-09-08,250
McMurray Fire,Buellton,2019-09-09,2019-09-14,200
Bailey Fire,Anza,2019-09-10,2019-09-10,10
Bridge Fire,Merced,2019-09-13,2019-09-13,11
Bautista Fire,Idyllwild-Pine Cove,2019-09-15,2019-09-22,167
Reservoir Fire,Milpitas,2019-09-21,2019-09-24,128
Lopez Fire,Arroyo Grande,2019-09-21,2019-09-27,220
Kennedy Fire,Moreno Valley,2019-09-21,2019-09-22,98
Tulloch Fire,Copperopolis,2019-09-23,2019-09-24,83
Cow Fire,Shingletown,2019-09-24,2019-09-24,16
Electra Fire,Pine Grove,2019-09-25,2019-09-25,10
Willow Fire,Lakeside,2019-09-25,2019-09-25,52
Hwy Fire,Durham,2019-09-28,2019-09-28,300
Chaparral Fire,Cameron Park,2019-09-29,2019-09-29,22
Warren Fire,Winchester,2019-09-30,2019-09-30,19
Del Fire,Patterson,2019-10-03,2019-10-04,18
Elk Fire,Happy Camp,2019-10-04,2019-10-03,63
American Fire,American Canyon,2019-10-06,2019-10-07,526
Point Fire ,Hollister,2019-10-07,2019-10-07,29
Dales Fire,Red Bluff,2019-10-07,2019-10-07,11
Little Fire,Pleasanton,2019-10-08,2019-10-08,12
Cross Fire,San Miguel,2019-10-09,2019-10-11,289
Corning Fire ,Corning,2019-10-09,2019-10-09,68
Inghram Fire,Corning,2019-10-09,2019-10-08,10
Merrill Fire,Moraga,2019-10-10,2019-10-10,40
Eagle Fire,El Cerrito Corona,2019-10-10,2019-10-10,9
Reche Fire,Moreno Valley,2019-10-10,2019-10-13,350
Plains Fire,Palo Cedro,2019-10-10,2019-10-10,42
Wolf Fire,Banning,2019-10-10,2019-10-12,75
Saddle Ridge Fire,San Fernando,2019-10-10,2019-10-31,8799
Bitter Fire,Shandon,2019-10-11,2019-10-11,30
Olivas Fire,El Rio,2019-10-11,2019-10-12,200
Horse Fire,Janesville,2019-10-13,2019-10-16,55
Johnson Fire ,Oasis,2019-10-14,2019-10-16,75
Fairmont Fire,Lemon Grove,2019-10-15,2019-10-16,10
Real Fire,Solvang,2019-10-17,2019-10-21,420
Mud Fire ,Coalinga,2019-10-18,2019-10-19,137
Beaumont Fire,Redlands,2019-10-21,2019-10-22,11
Palisades Fire,Topanga,2019-10-21,2019-10-31,42
Kincade Fire,Cobb,2019-10-23,2019-11-06,77758
Nelson Fire ,Durham,2019-10-24,2019-10-24,80
Cabrillo Fire,Boulder Creek,2019-10-24,2019-10-27,62
Mines Fire,Livermore,2019-10-24,2019-10-27,35
Sawday Fire ,San Diego Country Estates,2019-10-25,2019-10-28,97
Miller Fire,Valley Center,2019-10-25,2019-10-27,37
Rawson Fire,Corning,2019-10-27,2019-10-28,605
Cypress Complex,Bethel Island,2019-10-27,2019-10-28,200
Sky Fire ,Crockett,2019-10-27,2019-10-28,150
Glencove Fire ,Crockett,2019-10-27,2019-10-28,140
Burris Fire,Redwood Valley,2019-10-27,2019-11-03,703
Forest Fire,Mountain View,2019-10-27,2019-10-28,50
Getty Fire ,Sherman Oaks,2019-10-28,2019-11-05,745
Easy Fire,Simi Valley,2019-10-30,2019-11-02,2375
Hill Fire ,Glen Avon,2019-10-31,2019-11-02,628
46 Fire,Rubidoux,2019-10-31,2019-11-03,328
Hillside Fire,Crestline,2019-10-31,2019-11-05,200
Maria Fire ,Santa Paula,2019-10-31,2019-11-06,9999
Sobrante Fire ,El Cerrito Corona,2019-11-01,2019-11-01,19
Ranch Fire,Rancho Tehama Reserve,2019-11-03,2019-11-14,2534
Eagle Fire,Clearlake Oaks,2019-11-05,2019-11-06,75
Cave Fire,Goleta,2019-11-25,2019-12-14,3126
Antelope Fire,Portola,2020-02-17,2020-02-20,102
Beegum Fire,Lewiston,2020-02-23,2020-02-24,75
Wood Fire,Johnstonville,2020-02-23,2020-02-23,57
Baseball Fire,Covelo,2020-02-25,2020-03-03,211
Grizzly Fire,Orland,2020-03-02,2020-03-05,154
Carter Fire ,Brawley,2020-04-04,2020-04-12,275
Red Fire ,Rancho Tehama Reserve,2020-04-23,2020-04-24,26
Byron Fire,Byron,2020-04-27,2020-04-27,47
Interstate 5 Fire,Avenal,2020-05-03,2020-05-03,2060
Hollister Fire,Buellton,2020-05-07,2020-05-09,156
Candy Fire,Palermo,2020-05-08,2020-05-08,17
Gilman Fire,Beaumont,2020-05-18,2020-05-18,20
Spanish Fire ,Angwin,2020-05-22,2020-05-23,20
Range Fire,San Luis Obispo,2020-05-27,2020-05-28,5000
Harley Fire,Woodcrest,2020-05-28,2020-05-28,60
Horn Fire ,Johnstonville,2020-06-02,2020-06-02,37
Smoketree Fire,Palm Springs,2020-06-02,2020-06-07,129
Wildlife Fire,Suisun,2020-06-03,2020-06-04,300
Brock Fire,Bella Vista,2020-06-04,2020-06-04,15
Colleen Fire,Seven Trees,2020-06-04,2020-06-07,126
Karchner Fire,Sheridan,2020-06-05,2020-06-05,39
Lakeville Fire,Temelec,2020-06-05,2020-06-06,141
McGary Fire ,Green Valley,2020-06-05,2020-06-05,79
Gulch Fire,Temelec,2020-06-06,2020-06-08,107
Quail Fire,Winters,2020-06-06,2020-06-10,1837
Willow Fire ,Concord,2020-06-06,2020-06-07,100
Hunters Fire,Mariposa,2020-06-07,2020-06-10,85
Sperry Fire,Patterson,2020-06-08,2020-06-08,80
Grand Fire,Lakeland Village,2020-06-08,2020-06-09,27
Bradley Fire ,San Miguel,2020-06-08,2020-06-09,230
Sierra Fire,El Cerrito Corona,2020-06-08,2020-06-09,100
Oak Fire,Valle Vista,2020-06-08,2020-06-08,20
Vineyard Fire ,Boonville,2020-06-09,2020-06-10,151
India Fire,San Clemente,2020-06-09,2020-06-12,1100
Elizabeth Fire,Saticoy,2020-06-10,2020-06-12,300
Soda Fire,Lost Hills,2020-06-10,2020-06-11,1680
Lime Fire,Piru,2020-06-10,2020-06-17,803
Skyline Fire,Jamul,2020-06-11,2020-06-14,100
Watt Fire,North Highlands,2020-06-11,2020-06-11,40
Grant Fire,Rancho Murieta,2020-06-12,2020-06-17,5042
Hog Fire,Minkler,2020-06-12,2020-07-08,533
Cornetts Fire,Mariposa,2020-06-13,2020-06-16,191
Dawson Fire ,El Cerrito Corona,2020-06-13,2020-06-13,10
Avila Fire,Avila Beach,2020-06-15,2020-06-19,445
Bitter Fire ,King City,2020-06-16,2020-06-21,813
Riata Fire ,Santa Margarita,2020-06-16,2020-06-17,18
Walker Fire,San Andreas,2020-06-16,2020-06-20,1455
Nelson Fire ,Thermalito,2020-06-17,2020-06-17,95
Liberty Fire,Collierville,2020-06-17,2020-06-18,89
Ridge Fire,King City,2020-06-17,2020-06-22,83
Baker Fire,Bear Valley Springs,2020-06-17,2020-06-18,165
Nelson Fire,Lincoln,2020-06-18,2020-06-18,110
Fork Fire,Three Rivers,2020-06-18,2020-06-22,130
Teddy Fire,Loma Rica,2020-06-18,2020-06-18,13
Springs Fire,Terra Bella,2020-06-19,2020-06-22,217
Honcut Fire,Palermo,2020-06-20,2020-06-20,89
Quarter Fire,Twain Harte,2020-06-21,2020-07-07,10
Hunter Fire,Lake Nacimiento,2020-06-21,2020-06-25,195
Stage Fire,Salinas,2020-06-21,2020-06-22,52
Grade Fire ,Orosi,2020-06-22,2020-06-26,1050
Rico Fire ,Lake Nacimiento,2020-06-22,2020-06-23,348
River Fire,Paso Robles,2020-06-22,2020-06-23,15
Sycamore Fire,Auberry,2020-06-23,2020-06-26,19
R-2 Fire,Janesville,2020-06-23,2020-06-26,563
R-3 Fire,Janesville,2020-06-24,2020-06-26,210
58 Fire,Salton City,2020-06-24,2020-06-27,12
Diablo Fire,Patterson,2020-06-25,2020-06-26,202
Bend Fire,Lost Hills,2020-06-25,2020-06-28,263
Aurora Fire,Bridgeport,2020-06-26,2020-07-02,280
Pass Fire,Hollister,2020-06-28,2020-07-03,2192
Gage Fire,Lake Nacimiento,2020-06-28,2020-06-28,33
Muck Fire ,Burney,2020-06-29,2020-06-29,12
Avacado Fire,Loma Rica,2020-06-30,2020-07-03,136
Flat Fire,Willow Creek,2020-06-30,2020-07-24,62
Bena Fire,Arvin,2020-07-01,2020-07-03,4000
Rowher Fire,Agua Dulce,2020-07-01,2020-07-05,648
Bonadelle Fire,Bonadelle Ranchos-Madera Ranchos,2020-07-02,2020-07-03,500
Soda Fire ,Shandon,2020-07-03,2020-07-05,157
Mount R Fire,Running Springs,2020-07-03,2020-07-06,62
Sheridan Fire,Milpitas,2020-07-04,2020-07-05,108
Park Fire,San Martin,2020-07-04,2020-07-06,353
Crews Fire,Gilroy,2020-07-05,2020-07-13,5513
Soledad Fire,Agua Dulce,2020-07-05,2020-07-10,1525
Patterson Fire,Mountain House,2020-07-06,2020-07-06,150
Mountain Meadow Fire ,Green Valley,2020-07-06,2020-07-09,75
Nail Fire,Lucerne,2020-07-07,2020-07-09,25
Tripp Fire ,Anza,2020-07-09,2020-07-09,10
Alum Fire,East Foothills,2020-07-11,2020-07-11,31
Power Fire,Auberry,2020-07-11,2020-07-15,108
Elliot Fire,Murrieta Hot Springs,2020-07-13,2020-07-13,2
Robinson Fire,Challenge-Brownsville,2020-07-13,2020-07-15,33
Casino Fire,Aguanga,2020-07-13,2020-07-15,91
Mineral Fire,Coalinga,2020-07-13,2020-07-26,29667
Coyote Fire,Ridgemark,2020-07-15,2020-07-18,1485
Ben Fire,Mariposa,2020-07-15,2020-07-18,48
Valley Fire ,Beale Air Force Base,2020-07-15,2020-07-15,500
Hollow Fire,Mountain House,2020-07-16,2020-07-19,253
Pitzer Fire,Lucerne Valley,2020-07-17,2020-07-20,119
Badger Fire,Yreka,2020-07-18,2020-07-28,557
Hog Fire,Westwood,2020-07-18,2020-08-17,9564
Platina Fire,Lewiston,2020-07-19,2020-07-27,333
Gold Fire,Alturas,2020-07-20,2020-08-12,22614
Milepost 21 Fire,Willow Creek,2020-07-20,2020-08-18,100
Feather Fire,Thermalito,2020-07-20,2020-07-21,30
Holland Fire ,Bethel Island,2020-07-20,2020-07-20,75
Easton Fire,Highland,2020-07-20,2020-07-21,71
Rabbit Fire ,Bonadelle Ranchos-Madera Ranchos,2020-07-20,2020-07-21,135
Iris Fire,Mammoth Lakes,2020-07-21,2020-08-12,120
Jack Fire,Beaumont,2020-07-24,2020-07-25,145
Hill Fire,Williams,2020-07-24,2020-07-25,138
Karen Fire,Sunnyslope,2020-07-25,2020-07-28,250
Ione Fire ,Rancho Murieta,2020-07-26,2020-07-26,51
Ridge Fire,Lebec,2020-07-27,2020-07-30,321
Lincoln Fire,Bayview,2020-07-27,2020-07-31,25
Branch Fire,Lost Hills,2020-07-28,2020-08-01,3222
Brook Fire,Muscoy,2020-07-29,2020-08-01,185
Clay Fire,Clay,2020-07-29,2020-07-30,741
Rabbit Fire,Beaumont,2020-07-30,2020-07-31,104
Dam Fire,Azusa,2020-07-30,2020-08-14,220
Sheep Fire,Arvin,2020-07-30,2020-07-31,233
Stump Fire,Shingletown,2020-08-01,2020-09-14,684
Castaic Fire,Castaic,2020-08-01,2020-09-14,178
Pond Fire,Santa Margarita,2020-08-01,2020-08-09,2005
Sophia Fire,El Dorado Hills,2020-08-02,2020-08-02,36
Water Fire,Palm Springs,2020-08-02,2020-08-04,52
North Fire,Janesville,2020-08-02,2020-08-10,6882
Sites Fire ,Maxwell,2020-08-02,2020-08-05,560
Post Fire,Boyle Heights,2020-08-02,2020-08-04,120
Beale Fire,Beale Air Force Base,2020-08-02,2020-08-03,600
Elsmere Fire,Santa Clarita,2020-08-03,2020-08-06,200
Stagecoach Fire,Bodfish,2020-08-03,2020-08-18,7760
Trimmer Fire,Squaw Valley,2020-08-04,2020-08-20,594
Pass Fire,Shandon,2020-08-04,2020-08-05,322
Fort Fire,Lebec,2020-08-06,2020-08-07,277
Mina Fire,Covelo,2020-08-10,2020-08-12,177
Duluth Fire,Roseville,2020-08-10,2020-08-11,65
R-1 Fire,Susanville,2020-08-11,2020-08-12,285
Soda Fire,Maricopa,2020-08-12,2020-08-12,424
Lake Fire,Green Valley,2020-08-12,2020-09-28,31089
Carrizo Fire,Lost Hills,2020-08-12,2020-08-12,183
Meiss Fire,Rancho Murieta,2020-08-13,2020-08-14,512
Ranch 2 Fire,Azusa,2020-08-13,2020-10-05,4237
Clark Fire,Paradise,2020-08-14,2020-08-14,110
Whale Fire,Cayucos,2020-08-15,2020-08-19,320
3-2 Fire,Templeton,2020-08-16,2020-08-17,20
Elk Fire,Willows,2020-08-16,2020-08-17,727
August Complex (includes Doe Fire),Rancho Tehama Reserve,2020-08-16,2020-11-11,1032648
Jones Fire,Grass Valley,2020-08-17,2020-08-28,705
4-8 Fire,Willows,2020-08-17,2020-08-19,275
Murphy Fire,Georgetown,2020-08-17,2020-08-19,14
CZU Lightning Complex (Including Warnella Fire) ,Boulder Creek,2020-08-16,2020-09-22,86509
SCU Lightning Complex,Patterson,2020-08-16,2020-10-01,396624
3-19 Fire,Upper Lake,2020-08-18,2020-08-21,62
Creek Fire,Covelo,2020-08-18,2020-08-21,820
LNU Lightning Complex,Winters,2020-08-17,2020-10-02,363220
Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone) ,Rancho Tehama Reserve,2020-08-17,2020-10-09,19609
Flint Fire,Rancho Calaveras,2020-08-19,2020-08-19,55
Moc Fire,Tuolumne City,2020-08-20,2020-08-30,2857
Volcano Fire,Fallbrook,2020-08-20,2020-08-22,45
Coyote Fire,Morgan Hill,2020-08-21,2020-08-26,143
Sheep Fire ,Susanville,2020-08-22,2020-09-09,29570
Woodward Fire,Inverness,2020-08-18,2020-10-02,4929
R-8 Pinecone Fire ,Susanville,2020-08-26,2020-08-31,567
Johnson Fire ,Green Valley,2020-08-28,2020-08-30,290
Hensley Fire ,Bonadelle Ranchos-Madera Ranchos,2020-08-30,2020-08-30,400
Catholic Fire,Clearlake Oaks,2020-09-01,2020-09-02,13
El Dorado Fire,Yucaipa,2020-09-05,2020-11-16,22744
Valley Fire,Alpine,2020-09-05,2020-09-24,16390
Oak Fire,Brooktrails,2020-09-07,2020-09-14,1100
Willow Fire,Loma Rica,2020-09-09,2020-09-14,1311
Sperry Fire,Patterson,2020-09-08,2020-09-09,45
Schoolhouse Fire,Yreka,2020-09-09,2020-09-17,45
Shackleford Fire,Yreka,2020-09-11,2020-09-21,50
Bullfrog Fire,Squaw Valley,2020-09-12,2020-11-09,1185
Fox Fire,Weaverville,2020-09-16,2020-09-30,2188
